Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
Trimannosylcore,36.9,44.7,-0.28,0.24782156527295277,0.7236842105263158,0.26778427883522393,1.0
VIM,2.7,0.0,4.8,0.045126463265450355,inf,0.29948441048041463,1.0
Internal_LewisA,2.7,0.0,4.8,0.045126463265450355,inf,0.29948441048041463,1.0
Disialyl_T_antigen,1.3,0.0,3.85,0.15799703049544475,inf,0.5354168959319174,1.0
H_antigen_type2,4.0,2.4,0.75,0.4699088413558039,1.7412587412587412,0.714073280220952,1.0
A_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
LewisB,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
ExtB,0.0,0.0,0.0,1.0,,1.0,1.0
Galili_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisA,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisX,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb4,0.0,0.0,0.0,1.0,,1.0,1.0
Gb5,0.0,0.0,0.0,1.0,,1.0,1.0
GloboH,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
PI_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
I_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
Forssman_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
iGb3,0.0,0.0,0.0,1.0,,1.0,1.0
66DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
Internal_LacdiNAc_type2,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LacdiNAc_type1,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
H_antigen_type1,1.3,1.2,0.18,0.9126569200321188,1.1428571428571428,1.0,1.0
H_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoSialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
LewisY,0.0,0.0,0.0,1.0,,1.0,1.0
betaGlucan,0.0,0.0,0.0,1.0,,1.0,1.0
NeoLacto_Series,0.0,0.0,0.0,1.0,,1.0,1.0
Lacto_Series(LewisC),0.0,0.0,0.0,1.0,,1.0,1.0
KeratanSulfate,0.0,0.0,0.0,1.0,,1.0,1.0
Cellulose_like,0.0,0.0,0.0,1.0,,1.0,1.0
Chondroitin_4S,0.0,0.0,0.0,1.0,,1.0,1.0
Mollu_series,0.0,0.0,0.0,1.0,,1.0,1.0
Hyaluronan,0.0,0.0,0.0,1.0,,1.0,1.0
LewisD,0.0,0.0,0.0,1.0,,1.0,1.0
Globo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Sda,0.0,0.0,0.0,1.0,,1.0,1.0
SDA,0.0,0.0,0.0,1.0,,1.0,1.0
Muco_series,0.0,0.0,0.0,1.0,,1.0,1.0
Heparin,0.0,0.0,0.0,1.0,,1.0,1.0
GPI_anchor,0.0,0.0,0.0,1.0,,1.0,1.0
Arthro_series,0.0,0.0,0.0,1.0,,1.0,1.0
Dermatansulfate,0.0,0.0,0.0,1.0,,1.0,1.0
CAD,0.0,0.0,0.0,1.0,,1.0,1.0
Lactotriaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
Lactosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
LexLex,0.0,0.0,0.0,1.0,,1.0,1.0
GM3,0.0,0.0,0.0,1.0,,1.0,1.0
GM2,0.0,0.0,0.0,1.0,,1.0,1.0
GM1,0.0,0.0,0.0,1.0,,1.0,1.0
cisGM1,0.0,0.0,0.0,1.0,,1.0,1.0
VIM2,0.0,0.0,0.0,1.0,,1.0,1.0
GD3,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a,0.0,0.0,0.0,1.0,,1.0,1.0
GD2,0.0,0.0,0.0,1.0,,1.0,1.0
GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
Peptidoglycan,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Fuc_LN3,0.0,0.0,0.0,1.0,,1.0,1.0
SDLex,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a_2,0.0,0.0,0.0,1.0,,1.0,1.0
GT1b,0.0,0.0,0.0,1.0,,1.0,1.0
LcGg4,0.0,0.0,0.0,1.0,,1.0,1.0
GT3,0.0,0.0,0.0,1.0,,1.0,1.0
GT1a,0.0,0.0,0.0,1.0,,1.0,1.0
GD1,0.0,0.0,0.0,1.0,,1.0,1.0
GT1c,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GM1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1c,0.0,0.0,0.0,1.0,,1.0,1.0
O_linked_mannose,0.0,0.0,0.0,1.0,,1.0,1.0
GT1aa,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1b,0.0,0.0,0.0,1.0,,1.0,1.0
HNK1,0.0,0.0,0.0,1.0,,1.0,1.0
GT2,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1ba,0.0,0.0,0.0,1.0,,1.0,1.0
O_mannose_Lex,0.0,0.0,0.0,1.0,,1.0,1.0
Sialopentaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
B-GM1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1aa,0.0,0.0,0.0,1.0,,1.0,1.0
bisSulfo-Lewis x,0.0,0.0,0.0,1.0,,1.0,1.0
Sulfogangliotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
para-Forssman,0.0,0.0,0.0,1.0,,1.0,1.0
core_fucose,21.5,21.2,0.02,0.9572680991362847,1.0180436847103513,1.0,1.0
Internal_LacdiNAc_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LacdiNAc_type2,2.7,2.4,0.18,0.8759512564966409,1.1448275862068966,1.0,1.0
Ganglio_Series,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
polySia,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
GP1ca,0.0,0.0,0.0,1.0,,1.0,1.0
B-GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
core_fucose(a1-3),0.0,0.0,0.0,1.0,,1.0,1.0
GP1c,0.0,0.0,0.0,1.0,,1.0,1.0
LPS_core,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex2,0.0,0.0,0.0,1.0,,1.0,1.0
Gala_series,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core5,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core7,0.0,0.0,0.0,1.0,,1.0,1.0
Xylogalacturonan,0.0,0.0,0.0,1.0,,1.0,1.0
Sialosylparagloboside,0.0,0.0,0.0,1.0,,1.0,1.0
LDNF,0.7,0.0,2.95,0.3189426803674738,inf,1.0,1.0
OFuc,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type2,0.0,0.0,0.0,1.0,,1.0,1.0
EGF_repeat ,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinan,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_hybrid,0.0,0.0,0.0,1.0,,1.0,1.0
Acharan_Sulfate,0.0,0.0,0.0,1.0,,1.0,1.0
M3FX,0.0,0.0,0.0,1.0,,1.0,1.0
M3X,0.0,0.0,0.0,1.0,,1.0,1.0
Xyloglucan,0.0,0.0,0.0,1.0,,1.0,1.0
1-6betaGalactan,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Galactomannan,0.0,0.0,0.0,1.0,,1.0,1.0
Tetraantennary_Nglycan,0.0,0.0,0.0,1.0,,1.0,1.0
Fucoidan,0.0,0.0,0.0,1.0,,1.0,1.0
Alginate,0.0,0.0,0.0,1.0,,1.0,1.0
FG,0.0,0.0,0.0,1.0,,1.0,1.0
XX,0.0,0.0,0.0,1.0,,1.0,1.0
Difucosylated_core,0.0,0.0,0.0,1.0,,1.0,1.0
GalFuc_core,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisC,0.0,0.0,0.0,1.0,,1.0,1.0
RM2,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
