Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
Forssman_antigen,0.0,0.7,-3.06,0.3190995602955939,0.0,0.3953488372093023,1.0
Terminal_LacNAc_type1,4.8,2.9,0.69,0.37012813341183176,1.6666666666666667,0.578265062983466,1.0
Oglycan_core2,1.0,1.5,-0.57,0.6813624934992637,0.6504854368932039,0.6493557247612569,1.0
Mucin_elongated_core2,1.0,1.5,-0.57,0.6813624934992637,0.6504854368932039,0.6493557247612569,1.0
VIM,3.8,4.4,-0.19,0.7987233946182863,0.8666666666666667,0.7872711540900208,1.0
Galili_antigen,8.2,7.4,0.15,0.7808184002247369,1.1214659685863875,0.8401605467923068,1.0
LewisB,0.0,0.0,0.0,1.0,,1.0,1.0
Internal_LewisA,1.0,0.7,0.35,0.8212202178368473,1.3106796116504855,1.0,1.0
B_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb4,0.0,0.0,0.0,1.0,,1.0,1.0
Gb5,0.0,0.0,0.0,1.0,,1.0,1.0
GloboH,0.0,0.0,0.0,1.0,,1.0,1.0
ExtB,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3_2,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
PI_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
i_antigen,9.6,9.6,0.01,0.9861528272446919,1.0065466448445173,1.0,1.0
66DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
iGb3,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoSialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisA,0.0,0.0,0.0,1.0,,1.0,1.0
LewisY,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisX,0.0,0.0,0.0,1.0,,1.0,1.0
betaGlucan,0.0,0.0,0.0,1.0,,1.0,1.0
NeoLacto_Series,0.0,0.0,0.0,1.0,,1.0,1.0
Lacto_Series(LewisC),0.0,0.0,0.0,1.0,,1.0,1.0
Ganglio_Series,0.0,0.0,0.0,1.0,,1.0,1.0
Internal_LacdiNAc_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LacdiNAc_type1,0.0,0.0,0.0,1.0,,1.0,1.0
KeratanSulfate,0.0,0.0,0.0,1.0,,1.0,1.0
Hyaluronan,0.0,0.0,0.0,1.0,,1.0,1.0
LewisD,0.0,0.0,0.0,1.0,,1.0,1.0
Globo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Sda,0.0,0.0,0.0,1.0,,1.0,1.0
SDA,0.0,0.0,0.0,1.0,,1.0,1.0
Cellulose_like,0.0,0.0,0.0,1.0,,1.0,1.0
Chondroitin_4S,0.0,0.0,0.0,1.0,,1.0,1.0
Mollu_series,0.0,0.0,0.0,1.0,,1.0,1.0
Arthro_series,0.0,0.0,0.0,1.0,,1.0,1.0
Dermatansulfate,0.0,0.0,0.0,1.0,,1.0,1.0
Peptidoglycan,0.0,0.0,0.0,1.0,,1.0,1.0
Lactotriaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
CAD,0.0,0.0,0.0,1.0,,1.0,1.0
LexLex,0.0,0.0,0.0,1.0,,1.0,1.0
GM3,0.0,0.0,0.0,1.0,,1.0,1.0
GM2,0.0,0.0,0.0,1.0,,1.0,1.0
GM1,0.0,0.0,0.0,1.0,,1.0,1.0
cisGM1,0.0,0.0,0.0,1.0,,1.0,1.0
VIM2,0.0,0.0,0.0,1.0,,1.0,1.0
GD3,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a,0.0,0.0,0.0,1.0,,1.0,1.0
Muco_series,0.0,0.0,0.0,1.0,,1.0,1.0
Heparin,0.0,0.0,0.0,1.0,,1.0,1.0
GPI_anchor,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Fuc_LN3,0.0,0.0,0.0,1.0,,1.0,1.0
SDLex,0.0,0.0,0.0,1.0,,1.0,1.0
GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
GD2,0.0,0.0,0.0,1.0,,1.0,1.0
LcGg4,0.0,0.0,0.0,1.0,,1.0,1.0
GT1b,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a_2,0.0,0.0,0.0,1.0,,1.0,1.0
GD1,0.0,0.0,0.0,1.0,,1.0,1.0
GT1c,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GM1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1c,0.0,0.0,0.0,1.0,,1.0,1.0
O_linked_mannose,0.0,0.0,0.0,1.0,,1.0,1.0
GT1aa,0.0,0.0,0.0,1.0,,1.0,1.0
GT3,0.0,0.0,0.0,1.0,,1.0,1.0
GT1a,0.0,0.0,0.0,1.0,,1.0,1.0
GT2,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1ba,0.0,0.0,0.0,1.0,,1.0,1.0
HNK1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1b,0.0,0.0,0.0,1.0,,1.0,1.0
O_mannose_Lex,0.0,0.0,0.0,1.0,,1.0,1.0
B-GM1,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
Sialopentaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
Sulfogangliotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
para-Forssman,0.0,0.0,0.0,1.0,,1.0,1.0
bisSulfo-Lewis x,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1aa,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
H_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
GP1ca,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
GP1c,0.0,0.0,0.0,1.0,,1.0,1.0
B-GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
core_fucose(a1-3),0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex2,0.0,0.0,0.0,1.0,,1.0,1.0
Gala_series,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core4,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core5,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core7,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core6,0.0,0.0,0.0,1.0,,1.0,1.0
Xylogalacturonan,0.0,0.0,0.0,1.0,,1.0,1.0
Sialosylparagloboside,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core3,0.0,0.0,0.0,1.0,,1.0,1.0
LPS_core,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type2,0.0,0.0,0.0,1.0,,1.0,1.0
OFuc,0.0,0.0,0.0,1.0,,1.0,1.0
EGF_repeat ,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_hybrid,0.0,0.0,0.0,1.0,,1.0,1.0
Acharan_Sulfate,0.0,0.0,0.0,1.0,,1.0,1.0
M3FX,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinan,0.0,0.0,0.0,1.0,,1.0,1.0
Xyloglucan,0.0,0.0,0.0,1.0,,1.0,1.0
1-6betaGalactan,0.0,0.0,0.0,1.0,,1.0,1.0
M3X,0.0,0.0,0.0,1.0,,1.0,1.0
Galactomannan,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Fucoidan,0.0,0.0,0.0,1.0,,1.0,1.0
Alginate,0.0,0.0,0.0,1.0,,1.0,1.0
FG,0.0,0.0,0.0,1.0,,1.0,1.0
XX,0.0,0.0,0.0,1.0,,1.0,1.0
Difucosylated_core,0.0,0.0,0.0,1.0,,1.0,1.0
GalFuc_core,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisC,0.0,0.0,0.0,1.0,,1.0,1.0
RM2,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
